상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA0101202210A0001993,케이글로벌,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 366-12,서울특별시 마포구 연남로,서울특별시 마포구 연남로 61-10,126.9197277,37.56432061
MA0101202211A0076017,보니하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-48,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 26-7,126.9253017,37.56161431
MA0101202211A0097253,보니따하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-42,서울특별시 마포구 동교로,서울특별시 마포구 동교로 254,126.9246221,37.56243708
MA0101202210A0027822,앨리스하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 561-43,서울특별시 마포구 성미산로22길,서울특별시 마포구 성미산로22길 38,126.9214909,37.56136331
MA0101202211A0033992,블루맨션,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 382-16,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 38,126.9256362,37.56117585
MA010120220800227711,디더블유스테이2,,I1,숙박,I101,일반 숙박,I10103,펜션,기타 일반 및 생활 숙박시설 운영업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-52,서울특별시 마포구 연남로1길,서울특별시 마포구 연남로1길 8-12,126.9220484,37.56116116
MA010120220800214812,화이트테일,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-69,서울특별시 마포구 동교로38안길,서울특별시 마포구 동교로38안길 8-1,126.9248978,37.56215126
MA010120220800217424,아이하우스친친,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,여관업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 370-14,서울특별시 마포구 연남로7길,서울특별시 마포구 연남로7길 24-11,126.9185201,37.56407529
MA010120220800217748,파크애비뉴,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 257-12,서울특별시 마포구 성미산로26길,서울특별시 마포구 성미산로26길 32-2,126.9229691,37.56246706
MA010120220800217837,파크애비뉴2,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 257-12,서울특별시 마포구 성미산로26길,서울특별시 마포구 성미산로26길 32-2,126.9229691,37.56246706
MA010120220800217991,케이북9,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 561-3,서울특별시 마포구 동교로27길,서울특별시 마포구 동교로27길 80,126.9203507,37.56115466
MA010120220800201619,리앤노게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 561-29,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 18-9,126.9210375,37.56140422
MA010120220800523743,저스트맨션2,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-35,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33,126.9257221,37.561501
MA010120220800643040,연남재게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 228-64,서울특별시 마포구 동교로,서울특별시 마포구 동교로 246,126.9244834,37.56185014
MA010120220800811271,씨유하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,민박업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 567-27,서울특별시 마포구 월드컵북로6길,서울특별시 마포구 월드컵북로6길 81-12,126.9224562,37.56035395
