상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220810263519,"그냥,방실",,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 240-34,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 153-13,126.9229787,37.564945
MA010120220810369041,카멜로연남,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-23,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 57,126.9263349,37.56138944
MA010120220810252713,비손더,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 240-6,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 161,126.923965,37.56483686
MA010120220810480958,45쿠오코,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-45,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 10,126.9252885,37.56253325
MA010120220810479439,덕다이브,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-59,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 19,126.9254542,37.56203018
MA010120220810551828,에이든,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-78,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 16,126.92515,37.56192829
MA010120220811227591,헤이죠지,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-96,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 42-24,126.9265345,37.56167959
MA010120220811221080,톨테일,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 227-24,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 190-3,126.9261575,37.56271235
MA010120220811709023,유니의우아한식탁,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-32,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 27-8,126.9258998,37.56173689
MA010120220811713043,카탈리스트,,I2,음식,I204,서양식,I20401,경양식,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-96,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 42-24,126.9265345,37.56167959
