상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,경도,위도
MA010120220800596357,랩1,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 241-44,서울특별시 마포구 성미산로29길,서울특별시 마포구 성미산로29길 40-11,126.9223024,37.56553352
MA010120220800518163,브론시스,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 383-23,서울특별시 마포구 연희로1길,서울특별시 마포구 연희로1길 57,126.9263349,37.56138944
MA010120220800757153,솝커피,,I2,음식,I212,비알코올 ,I21201,카페,제과점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 255-12,서울특별시 마포구 동교로39길,서울특별시 마포구 동교로39길 4-13,126.9239166,37.56269195
MA010120220800691380,플로우,,I2,음식,I212,비알코올 ,I21201,카페,기타 비알코올 음료점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 562-37,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 40,126.9205509,37.56061587
MA010120220800827510,메리,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-41,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33-6,126.9259045,37.56141256
MA010120220800886958,일쩜오플로어커피,,I2,음식,I212,비알코올 ,I21201,카페,서양식 음식점업,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 381-5,서울특별시 마포구 동교로34길,서울특별시 마포구 동교로34길 21,126.9255505,37.56084168
MA010120220800851214,오테라오테라부띠끄,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-38,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 13,126.9217884,37.56114077
MA010120220801240201,아망디네,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 387-39,서울특별시 마포구 동교로46길,서울특별시 마포구 동교로46길 13,126.9256189,37.56238308
MA010120220801139679,산,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-39,서울특별시 마포구 동교로38길,서울특별시 마포구 동교로38길 33-10,126.9261515,37.56154996
MA010120220801627279,하바코,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 250-28,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 143,126.9222916,37.56392056
MA010120220801614982,스윗헤르츠,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 260-31,서울특별시 마포구 동교로34길,서울특별시 마포구 동교로34길 3,126.9245513,37.56105784
MA010120220801533691,콩카페연남점,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 223-114,서울특별시 마포구 성미산로,서울특별시 마포구 성미산로 161-14,126.9237313,37.56534832
MA010120220802682506,카페포스터,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 566-38,서울특별시 마포구 연남로3길,서울특별시 마포구 연남로3길 13,126.9217884,37.56114077
MA010120220802883599,어나더쉐어,,I2,음식,I212,비알코올 ,I21201,카페,커피 전문점,서울특별시,마포구,연남동,연남동,서울특별시 마포구 연남동 390-68,서울특별시 마포구 동교로38안길,서울특별시 마포구 동교로38안길 10,126.9248513,37.56224094
